City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
297,Jalu,LY,80.06,clear sky,29.0331,21.5482,صاحبة الفخامة
302,Makakilo City,US,76.01,light rain,21.3469,-158.0858,Marriott's Ko Olina Beach Club
305,Kahului,US,78.82,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
306,Klaeng,TH,87.94,broken clouds,12.7797,101.6483,สวัสดีการ์เดนท์รีสอร์ท
310,Dingle,PH,76.75,heavy intensity rain,10.9995,122.6711,SEGAYA PROPERTY
312,Sur,OM,88.83,overcast clouds,22.5667,59.5289,Sur Plaza Hotel
314,Akhmim,EG,88.0,clear sky,26.5622,31.745,برج الماسة السكني
315,Luwuk,ID,77.4,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
317,Tonj,SS,81.21,broken clouds,7.2737,28.6822,Lakan Hotel
319,Phan Thiet,VN,78.62,overcast clouds,10.9333,108.1,Hotel Saigon-PT
322,Russell,US,85.28,scattered clouds,32.3502,-85.1999,Macs
324,Boulder City,US,84.43,clear sky,35.9786,-114.8325,Boulder Dam Hotel
327,San Anselmo,US,78.49,clear sky,37.9747,-122.5616,Four Points by Sheraton San Rafael Marin County
331,Avera,US,82.54,clear sky,33.194,-82.5271,
340,Luis Correia,BR,86.0,scattered clouds,-2.8792,-41.6669,Hotel Amarração
342,Sayat,TM,84.63,overcast clouds,38.7839,63.8803,
352,Caravelas,BR,76.86,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
357,Muncar,ID,76.78,broken clouds,-8.4333,114.3333,Zaky Homestay
358,Porto Walter,BR,82.62,broken clouds,-8.2686,-72.7439,Secretaria de saúde
359,Terdal,IN,82.04,clear sky,16.5,75.05,Naikwadi mansion
360,Boueni,YT,80.58,few clouds,-12.9025,45.0761,The feet in water
361,Mecca,SA,87.94,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
362,Buluang,PH,75.4,broken clouds,13.3068,123.3425,Sacueza Beach Resort
