City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
51,Tiksi,RU,71.6872,128.8694,34.25,89,100,17.16,overcast clouds,2022-04-30 19:30:17
52,Baghdad,IQ,33.3406,44.4009,83.35,26,65,8.79,broken clouds,2022-04-30 19:30:17
53,Jamestown,US,42.097,-79.2353,66.52,23,0,8.05,clear sky,2022-04-30 19:30:18
54,Port Elizabeth,ZA,-33.918,25.5701,61.32,78,0,16.11,clear sky,2022-04-30 19:30:18
55,Tasiilaq,GL,65.6145,-37.6368,41.16,63,10,0.56,clear sky,2022-04-30 19:30:19
56,Guerrero Negro,MX,27.9769,-114.0611,68.47,57,80,15.28,broken clouds,2022-04-30 19:30:20
57,Ushuaia,AR,-54.8,-68.3,40.66,87,0,3.44,clear sky,2022-04-30 19:28:56
58,Kirakira,SB,-10.4544,161.9205,80.24,80,100,2.04,overcast clouds,2022-04-30 19:30:20
59,Saldanha,ZA,-33.0117,17.9442,57.25,87,8,12.15,clear sky,2022-04-30 19:30:21
60,Inongo,CD,-1.95,18.2667,74.59,79,99,1.88,overcast clouds,2022-04-30 19:29:53
61,Chuy,UY,-33.6971,-53.4616,60.66,57,100,6.15,overcast clouds,2022-04-30 19:27:17
62,Manapparai,IN,10.6,78.4167,86.86,64,62,5.32,broken clouds,2022-04-30 19:27:05
63,Bethel,US,41.3712,-73.414,65.01,34,0,7.0,clear sky,2022-04-30 19:27:09
64,Airai,TL,-8.9266,125.4092,59.67,84,87,3.02,overcast clouds,2022-04-30 19:30:22
65,Hasaki,JP,35.7333,140.8333,45.0,61,100,10.38,overcast clouds,2022-04-30 19:30:22
66,Usak,TR,38.5,29.4167,54.01,70,91,10.2,overcast clouds,2022-04-30 19:30:23
67,Norman Wells,CA,65.282,-126.8329,44.64,53,0,11.5,clear sky,2022-04-30 19:30:24
68,Caririacu,BR,-7.0422,-39.2836,84.29,48,20,6.91,few clouds,2022-04-30 19:30:24
69,Bluff,NZ,-46.6,168.3333,64.8,65,100,18.43,moderate rain,2022-04-30 19:28:56
70,Jiazi,CN,22.8779,116.067,70.68,91,100,14.05,overcast clouds,2022-04-30 19:30:25
71,Punta Arenas,CL,-53.15,-70.9167,44.71,76,40,9.22,scattered clouds,2022-04-30 19:30:25
72,Hilo,US,19.7297,-155.09,77.29,92,100,5.75,light rain,2022-04-30 19:26:15
73,Kieta,PG,-6.2167,155.6333,78.4,82,100,3.15,light rain,2022-04-30 19:30:26
74,Hobart,AU,-42.8794,147.3294,57.25,78,100,10.36,overcast clouds,2022-04-30 19:27:55
75,Arroyo,ES,41.6096,-4.7969,66.6,67,20,2.3,few clouds,2022-04-30 19:30:28
76,Ulladulla,AU,-35.35,150.4667,54.5,74,2,3.62,clear sky,2022-04-30 19:30:29
77,Castro,BR,-24.7911,-50.0119,67.35,86,43,1.05,scattered clouds,2022-04-30 19:30:29
78,Yellowknife,CA,62.456,-114.3525,34.32,47,0,5.75,clear sky,2022-04-30 19:30:30
79,Chapais,CA,49.7834,-74.8492,46.18,58,5,7.81,clear sky,2022-04-30 19:30:30
80,Hillsborough,US,37.5741,-122.3794,74.28,72,75,19.57,broken clouds,2022-04-30 19:30:31
81,Acarau,BR,-2.8856,-40.12,80.65,85,16,8.61,few clouds,2022-04-30 19:30:31
82,Atuona,PF,-9.8,-139.0333,78.89,76,7,13.38,clear sky,2022-04-30 19:30:32
83,Port Alfred,ZA,-33.5906,26.891,60.19,80,1,4.0,clear sky,2022-04-30 19:30:33
84,Lagoa,PT,39.05,-27.9833,60.98,87,0,10.51,clear sky,2022-04-30 19:30:33
85,Tuktoyaktuk,CA,69.4541,-133.0374,30.2,80,20,9.22,few clouds,2022-04-30 19:30:34
86,Marawi,PH,7.9986,124.2928,67.98,96,96,1.43,overcast clouds,2022-04-30 19:27:38
87,Yuxia,CN,34.0615,108.6291,48.81,29,100,5.14,overcast clouds,2022-04-30 19:30:34
88,Luderitz,NA,-26.6481,15.1594,58.8,66,0,17.2,clear sky,2022-04-30 19:30:35
89,Saint-Philippe,RE,-21.3585,55.7679,78.39,79,9,11.48,clear sky,2022-04-30 19:30:36
90,Hithadhoo,MV,-0.6,73.0833,85.53,68,100,14.94,overcast clouds,2022-04-30 19:29:29
91,Mount Gambier,AU,-37.8333,140.7667,55.31,94,100,9.22,overcast clouds,2022-04-30 19:31:36
92,Koumac,NC,-20.5667,164.2833,73.31,84,0,5.3,clear sky,2022-04-30 19:31:37
93,Cabedelo,BR,-6.9811,-34.8339,83.07,73,100,14.97,overcast clouds,2022-04-30 19:29:53
94,Ribnica,SI,45.7386,14.7275,53.1,77,76,3.09,broken clouds,2022-04-30 19:31:38
95,Sept-Iles,CA,50.2001,-66.3821,46.06,59,100,15.99,light rain,2022-04-30 19:31:38
96,Tungor,RU,53.3808,142.9564,29.98,98,100,4.59,light snow,2022-04-30 19:31:39
97,Cidreira,BR,-30.1811,-50.2056,65.95,70,100,9.84,overcast clouds,2022-04-30 19:31:39
98,Omsk,RU,55.0,73.4,44.49,56,0,13.42,clear sky,2022-04-30 19:27:11
99,Tabory,RU,58.5198,64.5495,31.24,59,9,4.5,clear sky,2022-04-30 19:31:40
100,Rio Gallegos,AR,-51.6226,-69.2181,48.25,49,0,2.3,clear sky,2022-04-30 19:30:26
101,Calabozo,VE,8.9242,-67.4293,79.63,77,100,6.08,overcast clouds,2022-04-30 19:31:41
102,Vilshofen,DE,48.6333,13.1833,57.33,96,100,6.31,light rain,2022-04-30 19:31:41
